Question,Status
1,Iterated
2,Iterated
3,Iterated
4,Iterated
5,Iterated
6,Iterated
7,Iterated
8,Iterated
9,Iterated
10,Iterated
11,Iterated
12,Iterated
13,Iterated
14,Iterated
15,Iterated
16,Iterated
17,Iterated
18,Iterated
19,Iterated
20,Iterated
21,Iterated
22,Iterated
23,Iterated
24,Iterated
25,Iterated
26,Iterated
27,Iterated
28,Iterated
29,Iterated
30,Iterated
31,Iterated
32,Iterated
33,Iterated
34,Iterated
35,Iterated
36,Iterated
37,Iterated
38,Iterated
39,Iterated
40,Iterated
41,Iterated
42,Iterated
43,Iterated
44,Iterated
45,Iterated
46,Iterated
47,Iterated
48,Iterated
49,Iterated
50,Iterated
51,Iterated
52,Iterated
53,Iterated
54,Iterated
55,Iterated
56,Iterated
57,Iterated
58,Iterated
59,Iterated
60,Iterated
61,Iterated
62,Iterated
63,Iterated
64,Iterated
65,Iterated
66,Iterated
67,Iterated
68,Iterated
69,Iterated
70,Iterated
71,Iterated
72,Iterated
73,Iterated
74,Iterated
75,Iterated
76,Iterated
77,Iterated
78,Iterated
79,Iterated
80,Iterated
81,Iterated
82,Iterated
83,Iterated
84,Iterated
85,Iterated
86,Iterated
87,Iterated
88,Iterated
89,Iterated
90,Iterated
91,Iterated
92,Iterated
93,Iterated
94,Iterated
95,Iterated
96,Iterated
97,Iterated
98,Iterated
99,Iterated
100,Iterated
101,Iterated
102,Iterated
